"Time","Indicator","Age","Place of residence","Sex","Unit","Value"
"2017","Deaths","1","Urban and rural areas","Females","persons","2"
"2018","Deaths","1","Urban and rural areas","Males and females","persons","8"
"2018","Deaths","1","Urban and rural areas","Males","persons","4"
"2018","Deaths","1","Urban and rural areas","Females","persons","4"
"2019","Deaths","1","Urban and rural areas","Males and females","persons","6"
"2019","Deaths","1","Urban and rural areas","Males","persons","3"
"2019","Deaths","1","Urban and rural areas","Females","persons","3"
"2020","Deaths","1","Urban and rural areas","Males and females","persons","4"
"2020","Deaths","1","Urban and rural areas","Males","persons","2"
"2020","Deaths","1","Urban and rural areas","Females","persons","2"
"2021","Deaths","1","Urban and rural areas","Males and females","persons","4"
"2021","Deaths","1","Urban and rural areas","Males","persons","3"
"2021","Deaths","1","Urban and rural areas","Females","persons","1"
"2022","Deaths","1","Urban and rural areas","Males and females","persons","6"
"2022","Deaths","1","Urban and rural areas","Males","persons","3"
"2022","Deaths","1","Urban and rural areas","Females","persons","3"
"2023","Deaths","1","Urban and rural areas","Males and females","persons","4"
"2023","Deaths","1","Urban and rural areas","Males","persons","3"
"2023","Deaths","1","Urban and rural areas","Females","persons","1"
"2024","Deaths","1","Urban and rural areas","Males and females","persons","6"
"2024","Deaths","1","Urban and rural areas","Males","persons","3"
"2024","Deaths","1","Urban and rural areas","Females","persons","3"
"2015","Deaths","2","Urban and rural areas","Males and females","persons","7"
"2015","Deaths","2","Urban and rural areas","Males","persons","2"
"2015","Deaths","2","Urban and rural areas","Females","persons","5"
"2016","Deaths","2","Urban and rural areas","Males and females","persons","6"
"2016","Deaths","2","Urban and rural areas","Males","persons","4"
"2016","Deaths","2","Urban and rural areas","Females","persons","2"
"2017","Deaths","2","Urban and rural areas","Males and females","persons","3"
"2017","Deaths","2","Urban and rural areas","Males","persons","2"
"2017","Deaths","2","Urban and rural areas","Females","persons","1"
"2018","Deaths","2","Urban and rural areas","Males and females","persons","6"
"2018","Deaths","2","Urban and rural areas","Males","persons","5"
"2018","Deaths","2","Urban and rural areas","Females","persons","1"
"2019","Deaths","2","Urban and rural areas","Males and females","persons","1"
"2019","Deaths","2","Urban and rural areas","Males","persons","0"
"2019","Deaths","2","Urban and rural areas","Females","persons","1"
"2020","Deaths","2","Urban and rural areas","Males and females","persons","5"
"2020","Deaths","2","Urban and rural areas","Males","persons","2"
"2020","Deaths","2","Urban and rural areas","Females","persons","3"
"2021","Deaths","2","Urban and rural areas","Males and females","persons","7"
"2021","Deaths","2","Urban and rural areas","Males","persons","3"
"2021","Deaths","2","Urban and rural areas","Females","persons","4"
"2022","Deaths","2","Urban and rural areas","Males and females","persons","4"
"2022","Deaths","2","Urban and rural areas","Males","persons","1"
"2022","Deaths","2","Urban and rural areas","Females","persons","3"
"2023","Deaths","2","Urban and rural areas","Males and females","persons","3"
"2023","Deaths","2","Urban and rural areas","Males","persons","2"
"2023","Deaths","2","Urban and rural areas","Females","persons","1"
"2024","Deaths","2","Urban and rural areas","Males and females","persons","6"
"2024","Deaths","2","Urban and rural areas","Males","persons","2"
"2024","Deaths","2","Urban and rural areas","Females","persons","4"
"2015","Deaths","3","Urban and rural areas","Males and females","persons","6"
"2015","Deaths","3","Urban and rural areas","Males","persons","3"
"2015","Deaths","3","Urban and rural areas","Females","persons","3"
"2016","Deaths","3","Urban and rural areas","Males and females","persons","3"
"2016","Deaths","3","Urban and rural areas","Males","persons","2"
"2016","Deaths","3","Urban and rural areas","Females","persons","1"
"2017","Deaths","3","Urban and rural areas","Males and females","persons","9"
"2017","Deaths","3","Urban and rural areas","Males","persons","5"
"2017","Deaths","3","Urban and rural areas","Females","persons","4"
"2018","Deaths","3","Urban and rural areas","Males and females","persons","5"
"2018","Deaths","3","Urban and rural areas","Males","persons","3"
"2018","Deaths","3","Urban and rural areas","Females","persons","2"
"2019","Deaths","3","Urban and rural areas","Males and females","persons","2"
"2019","Deaths","3","Urban and rural areas","Males","persons","1"
"2019","Deaths","3","Urban and rural areas","Females","persons","1"
"2020","Deaths","3","Urban and rural areas","Males and females","persons","2"
"2020","Deaths","3","Urban and rural areas","Males","persons","1"
"2020","Deaths","3","Urban and rural areas","Females","persons","1"
"2021","Deaths","3","Urban and rural areas","Males and females","persons","3"
"2021","Deaths","3","Urban and rural areas","Males","persons","1"
"2021","Deaths","3","Urban and rural areas","Females","persons","2"
"2022","Deaths","3","Urban and rural areas","Males and females","persons","3"
"2022","Deaths","3","Urban and rural areas","Males","persons","1"
"2022","Deaths","3","Urban and rural areas","Females","persons","2"
"2023","Deaths","3","Urban and rural areas","Males and females","persons","6"
"2023","Deaths","3","Urban and rural areas","Males","persons","3"
"2023","Deaths","3","Urban and rural areas","Females","persons","3"
"2024","Deaths","3","Urban and rural areas","Males and females","persons","4"
"2024","Deaths","3","Urban and rural areas","Males","persons","3"
"2024","Deaths","3","Urban and rural areas","Females","persons","1"
"2015","Deaths","4","Urban and rural areas","Males and females","persons","3"
"2015","Deaths","4","Urban and rural areas","Males","persons","1"
"2015","Deaths","4","Urban and rural areas","Females","persons","2"
"2016","Deaths","4","Urban and rural areas","Males and females","persons","6"
"2016","Deaths","4","Urban and rural areas","Males","persons","3"
"2016","Deaths","4","Urban and rural areas","Females","persons","3"
"2017","Deaths","4","Urban and rural areas","Males and females","persons","4"
"2017","Deaths","4","Urban and rural areas","Males","persons","4"
"2017","Deaths","4","Urban and rural areas","Females","persons","0"
"2018","Deaths","4","Urban and rural areas","Males and females","persons","3"
"2018","Deaths","4","Urban and rural areas","Males","persons","2"
"2018","Deaths","4","Urban and rural areas","Females","persons","1"
"2019","Deaths","4","Urban and rural areas","Males and females","persons","3"
"2019","Deaths","4","Urban and rural areas","Males","persons","1"
"2019","Deaths","4","Urban and rural areas","Females","persons","2"
"2020","Deaths","4","Urban and rural areas","Males and females","persons","5"
"2020","Deaths","4","Urban and rural areas","Males","persons","3"
"2020","Deaths","4","Urban and rural areas","Females","persons","2"
"2021","Deaths","4","Urban and rural areas","Males and females","persons","3"
"2021","Deaths","4","Urban and rural areas","Males","persons","2"
"2021","Deaths","4","Urban and rural areas","Females","persons","1"
"2022","Deaths","4","Urban and rural areas","Males and females","persons","4"
"2022","Deaths","4","Urban and rural areas","Males","persons","1"
"2022","Deaths","4","Urban and rural areas","Females","persons","3"
"2023","Deaths","4","Urban and rural areas","Males and females","persons","5"
"2023","Deaths","4","Urban and rural areas","Males","persons","2"
"2023","Deaths","4","Urban and rural areas","Females","persons","3"
"2024","Deaths","4","Urban and rural areas","Males and females","persons",
"2024","Deaths","4","Urban and rural areas","Males","persons",
"2024","Deaths","4","Urban and rural areas","Females","persons",
"2015","Deaths","5","Urban and rural areas","Males and females","persons","2"
"2015","Deaths","5","Urban and rural areas","Males","persons","0"
"2015","Deaths","5","Urban and rural areas","Females","persons","2"
"2016","Deaths","5","Urban and rural areas","Males and females","persons","2"
"2016","Deaths","5","Urban and rural areas","Males","persons","0"
"2016","Deaths","5","Urban and rural areas","Females","persons","2"
"2017","Deaths","5","Urban and rural areas","Males and females","persons","7"
"2017","Deaths","5","Urban and rural areas","Males","persons","5"
"2017","Deaths","5","Urban and rural areas","Females","persons","2"
"2018","Deaths","5","Urban and rural areas","Males and females","persons","3"
"2018","Deaths","5","Urban and rural areas","Males","persons","2"
"2018","Deaths","5","Urban and rural areas","Females","persons","1"
"2019","Deaths","5","Urban and rural areas","Males and females","persons","2"
"2019","Deaths","5","Urban and rural areas","Males","persons","1"
"2019","Deaths","5","Urban and rural areas","Females","persons","1"
"2020","Deaths","5","Urban and rural areas","Males and females","persons","5"
"2020","Deaths","5","Urban and rural areas","Males","persons","5"
"2020","Deaths","5","Urban and rural areas","Females","persons","0"
"2021","Deaths","5","Urban and rural areas","Males and females","persons","3"
"2021","Deaths","5","Urban and rural areas","Males","persons","2"
"2021","Deaths","5","Urban and rural areas","Females","persons","1"
"2022","Deaths","5","Urban and rural areas","Males and females","persons","4"
"2022","Deaths","5","Urban and rural areas","Males","persons","2"
"2022","Deaths","5","Urban and rural areas","Females","persons","2"
"2023","Deaths","5","Urban and rural areas","Males and females","persons","4"
"2023","Deaths","5","Urban and rural areas","Males","persons","3"
"2023","Deaths","5","Urban and rural areas","Females","persons","1"
"2024","Deaths","5","Urban and rural areas","Males and females","persons","4"
"2024","Deaths","5","Urban and rural areas","Males","persons",
"2024","Deaths","5","Urban and rural areas","Females","persons","4"
"2015","Deaths","6","Urban and rural areas","Males and females","persons","4"
"2015","Deaths","6","Urban and rural areas","Males","persons","1"
"2015","Deaths","6","Urban and rural areas","Females","persons","3"
"2016","Deaths","6","Urban and rural areas","Males and females","persons","4"
"2016","Deaths","6","Urban and rural areas","Males","persons","2"
"2016","Deaths","6","Urban and rural areas","Females","persons","2"
"2017","Deaths","6","Urban and rural areas","Males and females","persons","3"
"2017","Deaths","6","Urban and rural areas","Males","persons","2"
"2017","Deaths","6","Urban and rural areas","Females","persons","1"
"2018","Deaths","6","Urban and rural areas","Males and females","persons","2"
"2018","Deaths","6","Urban and rural areas","Males","persons","0"
"2018","Deaths","6","Urban and rural areas","Females","persons","2"
"2019","Deaths","6","Urban and rural areas","Males and females","persons","3"
"2019","Deaths","6","Urban and rural areas","Males","persons","2"
"2019","Deaths","6","Urban and rural areas","Females","persons","1"
"2020","Deaths","6","Urban and rural areas","Males and females","persons","5"
"2020","Deaths","6","Urban and rural areas","Males","persons","4"
"2020","Deaths","6","Urban and rural areas","Females","persons","1"
"2021","Deaths","6","Urban and rural areas","Males and females","persons","4"
"2021","Deaths","6","Urban and rural areas","Males","persons","1"
"2021","Deaths","6","Urban and rural areas","Females","persons","3"
"2022","Deaths","6","Urban and rural areas","Males and females","persons","5"
"2022","Deaths","6","Urban and rural areas","Males","persons","4"
"2022","Deaths","6","Urban and rural areas","Females","persons","1"
"2023","Deaths","6","Urban and rural areas","Males and females","persons","8"
"2023","Deaths","6","Urban and rural areas","Males","persons","4"
"2023","Deaths","6","Urban and rural areas","Females","persons","4"
"2024","Deaths","6","Urban and rural areas","Males and females","persons","6"
"2024","Deaths","6","Urban and rural areas","Males","persons","1"
"2024","Deaths","6","Urban and rural areas","Females","persons","5"
"2015","Deaths","7","Urban and rural areas","Males and females","persons","2"
"2015","Deaths","7","Urban and rural areas","Males","persons","1"
"2015","Deaths","7","Urban and rural areas","Females","persons","1"
"2016","Deaths","7","Urban and rural areas","Males and females","persons","5"
"2016","Deaths","7","Urban and rural areas","Males","persons","1"
"2016","Deaths","7","Urban and rural areas","Females","persons","4"
"2017","Deaths","7","Urban and rural areas","Males and females","persons","6"
"2017","Deaths","7","Urban and rural areas","Males","persons","4"
"2017","Deaths","7","Urban and rural areas","Females","persons","2"
"2018","Deaths","7","Urban and rural areas","Males and females","persons","3"
"2018","Deaths","7","Urban and rural areas","Males","persons","3"
"2018","Deaths","7","Urban and rural areas","Females","persons","0"
"2019","Deaths","7","Urban and rural areas","Males and females","persons","3"
"2019","Deaths","7","Urban and rural areas","Males","persons","2"
"2019","Deaths","7","Urban and rural areas","Females","persons","1"
"2020","Deaths","7","Urban and rural areas","Males and females","persons","2"
"2020","Deaths","7","Urban and rural areas","Males","persons","2"
"2020","Deaths","7","Urban and rural areas","Females","persons","0"
"2021","Deaths","7","Urban and rural areas","Males and females","persons","1"
"2021","Deaths","7","Urban and rural areas","Males","persons","1"
"2021","Deaths","7","Urban and rural areas","Females","persons","0"
"2022","Deaths","7","Urban and rural areas","Males and females","persons","1"
"2022","Deaths","7","Urban and rural areas","Males","persons","1"
"2022","Deaths","7","Urban and rural areas","Females","persons",
"2023","Deaths","7","Urban and rural areas","Males and females","persons","3"
"2023","Deaths","7","Urban and rural areas","Males","persons","3"
"2023","Deaths","7","Urban and rural areas","Females","persons",
"2024","Deaths","7","Urban and rural areas","Males and females","persons","1"
"2024","Deaths","7","Urban and rural areas","Males","persons","1"
"2024","Deaths","7","Urban and rural areas","Females","persons",
"2015","Deaths","8","Urban and rural areas","Males and females","persons","3"
"2015","Deaths","8","Urban and rural areas","Males","persons","2"
"2015","Deaths","8","Urban and rural areas","Females","persons","1"
"2016","Deaths","8","Urban and rural areas","Males and females","persons","2"
"2016","Deaths","8","Urban and rural areas","Males","persons","2"
"2016","Deaths","8","Urban and rural areas","Females","persons","0"
"2017","Deaths","8","Urban and rural areas","Males and females","persons","5"
"2017","Deaths","8","Urban and rural areas","Males","persons","3"
"2017","Deaths","8","Urban and rural areas","Females","persons","2"
"2018","Deaths","8","Urban and rural areas","Males and females","persons","5"
"2018","Deaths","8","Urban and rural areas","Males","persons","3"
"2018","Deaths","8","Urban and rural areas","Females","persons","2"
"2019","Deaths","8","Urban and rural areas","Males and females","persons","5"
"2019","Deaths","8","Urban and rural areas","Males","persons","2"
"2019","Deaths","8","Urban and rural areas","Females","persons","3"
"2020","Deaths","8","Urban and rural areas","Males and females","persons","3"
"2020","Deaths","8","Urban and rural areas","Males","persons","3"
"2020","Deaths","8","Urban and rural areas","Females","persons","0"
"2021","Deaths","8","Urban and rural areas","Males and females","persons","7"
"2021","Deaths","8","Urban and rural areas","Males","persons","3"
"2021","Deaths","8","Urban and rural areas","Females","persons","4"
"2022","Deaths","8","Urban and rural areas","Males and females","persons","1"
"2022","Deaths","8","Urban and rural areas","Males","persons","1"
"2022","Deaths","8","Urban and rural areas","Females","persons",
"2023","Deaths","8","Urban and rural areas","Males and females","persons","3"
"2023","Deaths","8","Urban and rural areas","Males","persons","2"
"2023","Deaths","8","Urban and rural areas","Females","persons","1"
"2024","Deaths","8","Urban and rural areas","Males and females","persons","2"
"2024","Deaths","8","Urban and rural areas","Males","persons","1"
"2024","Deaths","8","Urban and rural areas","Females","persons","1"
"2015","Deaths","9","Urban and rural areas","Males and females","persons","4"
"2015","Deaths","9","Urban and rural areas","Males","persons","1"
"2015","Deaths","9","Urban and rural areas","Females","persons","3"
"2016","Deaths","9","Urban and rural areas","Males and females","persons","1"
"2016","Deaths","9","Urban and rural areas","Males","persons","0"
"2016","Deaths","9","Urban and rural areas","Females","persons","1"
"2017","Deaths","9","Urban and rural areas","Males and females","persons","3"
"2017","Deaths","9","Urban and rural areas","Males","persons","3"
"2017","Deaths","9","Urban and rural areas","Females","persons","0"
"2018","Deaths","9","Urban and rural areas","Males and females","persons","1"
"2018","Deaths","9","Urban and rural areas","Males","persons","0"
"2018","Deaths","9","Urban and rural areas","Females","persons","1"
"2019","Deaths","9","Urban and rural areas","Males and females","persons","7"
"2019","Deaths","9","Urban and rural areas","Males","persons","2"
"2019","Deaths","9","Urban and rural areas","Females","persons","5"
"2020","Deaths","9","Urban and rural areas","Males and females","persons","6"
"2020","Deaths","9","Urban and rural areas","Males","persons","4"
"2020","Deaths","9","Urban and rural areas","Females","persons","2"
"2021","Deaths","9","Urban and rural areas","Males and females","persons","4"
"2021","Deaths","9","Urban and rural areas","Males","persons","4"
"2021","Deaths","9","Urban and rural areas","Females","persons","0"
"2022","Deaths","9","Urban and rural areas","Males and females","persons","1"
"2022","Deaths","9","Urban and rural areas","Males","persons",
"2022","Deaths","9","Urban and rural areas","Females","persons","1"
"2023","Deaths","9","Urban and rural areas","Males and females","persons","1"
"2023","Deaths","9","Urban and rural areas","Males","persons","1"
"2023","Deaths","9","Urban and rural areas","Females","persons",
"2024","Deaths","9","Urban and rural areas","Males and females","persons","4"
"2024","Deaths","9","Urban and rural areas","Males","persons","3"
"2024","Deaths","9","Urban and rural areas","Females","persons","1"
"2015","Deaths","10","Urban and rural areas","Males and females","persons","4"
"2015","Deaths","10","Urban and rural areas","Males","persons","2"
"2015","Deaths","10","Urban and rural areas","Females","persons","2"
"2016","Deaths","10","Urban and rural areas","Males and females","persons","1"
"2016","Deaths","10","Urban and rural areas","Males","persons","1"
"2016","Deaths","10","Urban and rural areas","Females","persons","0"
"2017","Deaths","10","Urban and rural areas","Males and females","persons","2"
"2017","Deaths","10","Urban and rural areas","Males","persons","2"
"2017","Deaths","10","Urban and rural areas","Females","persons","0"
"2018","Deaths","10","Urban and rural areas","Males and females","persons","4"
"2018","Deaths","10","Urban and rural areas","Males","persons","2"
"2018","Deaths","10","Urban and rural areas","Females","persons","2"
"2019","Deaths","10","Urban and rural areas","Males and females","persons","4"
"2019","Deaths","10","Urban and rural areas","Males","persons","3"
"2019","Deaths","10","Urban and rural areas","Females","persons","1"
"2020","Deaths","10","Urban and rural areas","Males and females","persons","1"
"2020","Deaths","10","Urban and rural areas","Males","persons","0"
"2020","Deaths","10","Urban and rural areas","Females","persons","1"
"2021","Deaths","10","Urban and rural areas","Males and females","persons","3"
"2021","Deaths","10","Urban and rural areas","Males","persons","2"
"2021","Deaths","10","Urban and rural areas","Females","persons","1"
"2022","Deaths","10","Urban and rural areas","Males and females","persons","2"
"2022","Deaths","10","Urban and rural areas","Males","persons","1"
"2022","Deaths","10","Urban and rural areas","Females","persons","1"
"2023","Deaths","10","Urban and rural areas","Males and females","persons",
"2023","Deaths","10","Urban and rural areas","Males","persons",
"2023","Deaths","10","Urban and rural areas","Females","persons",
"2024","Deaths","10","Urban and rural areas","Males and females","persons","4"
"2024","Deaths","10","Urban and rural areas","Males","persons","2"
"2024","Deaths","10","Urban and rural areas","Females","persons","2"
"2015","Deaths","11","Urban and rural areas","Males and females","persons","1"
"2015","Deaths","11","Urban and rural areas","Males","persons","1"
"2015","Deaths","11","Urban and rural areas","Females","persons","0"
"2016","Deaths","11","Urban and rural areas","Males and females","persons","4"
"2016","Deaths","11","Urban and rural areas","Males","persons","3"
"2016","Deaths","11","Urban and rural areas","Females","persons","1"
"2017","Deaths","11","Urban and rural areas","Males and females","persons","6"
"2017","Deaths","11","Urban and rural areas","Males","persons","5"
"2017","Deaths","11","Urban and rural areas","Females","persons","1"
"2018","Deaths","11","Urban and rural areas","Males and females","persons","2"
"2018","Deaths","11","Urban and rural areas","Males","persons","1"
"2018","Deaths","11","Urban and rural areas","Females","persons","1"
"2019","Deaths","11","Urban and rural areas","Males and females","persons","4"
"2019","Deaths","11","Urban and rural areas","Males","persons","1"
"2019","Deaths","11","Urban and rural areas","Females","persons","3"
"2020","Deaths","11","Urban and rural areas","Males and females","persons","1"
"2020","Deaths","11","Urban and rural areas","Males","persons","1"
"2020","Deaths","11","Urban and rural areas","Females","persons","0"
"2021","Deaths","11","Urban and rural areas","Males and females","persons","5"
"2021","Deaths","11","Urban and rural areas","Males","persons","4"
"2021","Deaths","11","Urban and rural areas","Females","persons","1"
"2022","Deaths","11","Urban and rural areas","Males and females","persons","2"
"2022","Deaths","11","Urban and rural areas","Males","persons","1"
"2022","Deaths","11","Urban and rural areas","Females","persons","1"
"2023","Deaths","11","Urban and rural areas","Males and females","persons","4"
"2023","Deaths","11","Urban and rural areas","Males","persons","4"
"2023","Deaths","11","Urban and rural areas","Females","persons",
"2024","Deaths","11","Urban and rural areas","Males and females","persons","2"
"2024","Deaths","11","Urban and rural areas","Males","persons",
"2024","Deaths","11","Urban and rural areas","Females","persons","2"
"2015","Deaths","12","Urban and rural areas","Males and females","persons","7"
"2015","Deaths","12","Urban and rural areas","Males","persons","7"
"2015","Deaths","12","Urban and rural areas","Females","persons","0"
"2016","Deaths","12","Urban and rural areas","Males and females","persons","7"
"2016","Deaths","12","Urban and rural areas","Males","persons","4"
"2016","Deaths","12","Urban and rural areas","Females","persons","3"
"2017","Deaths","12","Urban and rural areas","Males and females","persons","4"
"2017","Deaths","12","Urban and rural areas","Males","persons","3"
"2017","Deaths","12","Urban and rural areas","Females","persons","1"
"2018","Deaths","12","Urban and rural areas","Males and females","persons","5"
"2018","Deaths","12","Urban and rural areas","Males","persons","1"
"2018","Deaths","12","Urban and rural areas","Females","persons","4"
"2019","Deaths","12","Urban and rural areas","Males and females","persons","2"
"2019","Deaths","12","Urban and rural areas","Males","persons","2"
"2019","Deaths","12","Urban and rural areas","Females","persons","0"
"2020","Deaths","12","Urban and rural areas","Males and females","persons","6"
"2020","Deaths","12","Urban and rural areas","Males","persons","3"
"2020","Deaths","12","Urban and rural areas","Females","persons","3"
"2021","Deaths","12","Urban and rural areas","Males and females","persons","6"
"2021","Deaths","12","Urban and rural areas","Males","persons","3"
"2021","Deaths","12","Urban and rural areas","Females","persons","3"
"2022","Deaths","12","Urban and rural areas","Males and females","persons",
"2022","Deaths","12","Urban and rural areas","Males","persons",
"2022","Deaths","12","Urban and rural areas","Females","persons",
"2023","Deaths","12","Urban and rural areas","Males and females","persons","6"
"2023","Deaths","12","Urban and rural areas","Males","persons","3"
"2023","Deaths","12","Urban and rural areas","Females","persons","3"
"2024","Deaths","12","Urban and rural areas","Males and females","persons","5"
"2024","Deaths","12","Urban and rural areas","Males","persons","4"
"2024","Deaths","12","Urban and rural areas","Females","persons","1"
"2015","Deaths","13","Urban and rural areas","Males and females","persons","7"
"2015","Deaths","13","Urban and rural areas","Males","persons","4"
"2015","Deaths","13","Urban and rural areas","Females","persons","3"
"2016","Deaths","13","Urban and rural areas","Males and females","persons","3"
"2016","Deaths","13","Urban and rural areas","Males","persons","2"
"2016","Deaths","13","Urban and rural areas","Females","persons","1"
"2017","Deaths","13","Urban and rural areas","Males and females","persons","2"
"2017","Deaths","13","Urban and rural areas","Males","persons","0"
"2017","Deaths","13","Urban and rural areas","Females","persons","2"
"2018","Deaths","13","Urban and rural areas","Males and females","persons","4"
"2018","Deaths","13","Urban and rural areas","Males","persons","3"
"2018","Deaths","13","Urban and rural areas","Females","persons","1"
"2019","Deaths","13","Urban and rural areas","Males and females","persons","5"
"2019","Deaths","13","Urban and rural areas","Males","persons","4"
"2019","Deaths","13","Urban and rural areas","Females","persons","1"
"2020","Deaths","13","Urban and rural areas","Males and females","persons","2"
"2020","Deaths","13","Urban and rural areas","Males","persons","2"
"2020","Deaths","13","Urban and rural areas","Females","persons","0"
"2021","Deaths","13","Urban and rural areas","Males and females","persons","3"
"2021","Deaths","13","Urban and rural areas","Males","persons","1"
"2021","Deaths","13","Urban and rural areas","Females","persons","2"
"2022","Deaths","13","Urban and rural areas","Males and females","persons","2"
"2022","Deaths","13","Urban and rural areas","Males","persons",
"2022","Deaths","13","Urban and rural areas","Females","persons","2"
"2023","Deaths","13","Urban and rural areas","Males and females","persons","4"
"2023","Deaths","13","Urban and rural areas","Males","persons","1"
"2023","Deaths","13","Urban and rural areas","Females","persons","3"
"2024","Deaths","13","Urban and rural areas","Males and females","persons","5"
"2024","Deaths","13","Urban and rural areas","Males","persons","2"
"2024","Deaths","13","Urban and rural areas","Females","persons","3"
"2015","Deaths","14","Urban and rural areas","Males and females","persons","18"
"2015","Deaths","14","Urban and rural areas","Males","persons","10"
"2015","Deaths","14","Urban and rural areas","Females","persons","8"
"2016","Deaths","14","Urban and rural areas","Males and females","persons","11"
"2016","Deaths","14","Urban and rural areas","Males","persons","9"
"2016","Deaths","14","Urban and rural areas","Females","persons","2"
"2017","Deaths","14","Urban and rural areas","Males and females","persons","7"
"2017","Deaths","14","Urban and rural areas","Males","persons","4"
"2017","Deaths","14","Urban and rural areas","Females","persons","3"
"2018","Deaths","14","Urban and rural areas","Males and females","persons","9"
"2018","Deaths","14","Urban and rural areas","Males","persons","5"
"2018","Deaths","14","Urban and rural areas","Females","persons","4"
"2019","Deaths","14","Urban and rural areas","Males and females","persons","1"
"2019","Deaths","14","Urban and rural areas","Males","persons","1"
"2019","Deaths","14","Urban and rural areas","Females","persons","0"
"2020","Deaths","14","Urban and rural areas","Males and females","persons","4"
"2020","Deaths","14","Urban and rural areas","Males","persons","1"
"2020","Deaths","14","Urban and rural areas","Females","persons","3"
"2021","Deaths","14","Urban and rural areas","Males and females","persons","5"
"2021","Deaths","14","Urban and rural areas","Males","persons","4"
"2021","Deaths","14","Urban and rural areas","Females","persons","1"
"2022","Deaths","14","Urban and rural areas","Males and females","persons","6"
"2022","Deaths","14","Urban and rural areas","Males","persons","5"
"2022","Deaths","14","Urban and rural areas","Females","persons","1"
"2023","Deaths","14","Urban and rural areas","Males and females","persons","7"
"2023","Deaths","14","Urban and rural areas","Males","persons","4"
"2023","Deaths","14","Urban and rural areas","Females","persons","3"
"2024","Deaths","14","Urban and rural areas","Males and females","persons","5"
"2024","Deaths","14","Urban and rural areas","Males","persons","3"
"2024","Deaths","14","Urban and rural areas","Females","persons","2"
"2015","Deaths","15","Urban and rural areas","Males and females","persons","12"
"2015","Deaths","15","Urban and rural areas","Males","persons","9"
"2015","Deaths","15","Urban and rural areas","Females","persons","3"
"2016","Deaths","15","Urban and rural areas","Males and females","persons","9"
"2016","Deaths","15","Urban and rural areas","Males","persons","7"
"2016","Deaths","15","Urban and rural areas","Females","persons","2"
"2017","Deaths","15","Urban and rural areas","Males and females","persons","4"
"2017","Deaths","15","Urban and rural areas","Males","persons","2"
"2017","Deaths","15","Urban and rural areas","Females","persons","2"
"2018","Deaths","15","Urban and rural areas","Males and females","persons","4"
"2018","Deaths","15","Urban and rural areas","Males","persons","2"
"2018","Deaths","15","Urban and rural areas","Females","persons","2"
"2019","Deaths","15","Urban and rural areas","Males and females","persons","11"
"2019","Deaths","15","Urban and rural areas","Males","persons","8"
"2019","Deaths","15","Urban and rural areas","Females","persons","3"
"2020","Deaths","15","Urban and rural areas","Males and females","persons","7"
"2020","Deaths","15","Urban and rural areas","Males","persons","3"
"2020","Deaths","15","Urban and rural areas","Females","persons","4"
"2021","Deaths","15","Urban and rural areas","Males and females","persons","3"
"2021","Deaths","15","Urban and rural areas","Males","persons","3"
"2021","Deaths","15","Urban and rural areas","Females","persons","0"
